วันที่,รายการสินค้า,จำนวน,ราคาต่อหน่วย,ยอดขายรวม
22-7-2569,น้ำตาล 1 กก.,2,25,50
20/07/2026,โค้ก,3,25,75
14 Jul 2026,น้ำมันพืช,1,60,60
2026-06-10,แป๊ปซี่,4,15,60
05/07/2026,แป๊ปซี่,2,35,70
16 Jun 2026,แป๊ปซี่,4,35,140
27-6-2569,น้ำมันปาล์ม,4,60,240
28-6-2569,ขนมขบเคี้ยว ,4,40,160
2026-06-11,น้ำมันพืชขวด,3,60,180
2026-07-26,น้ำมันพืช,1,55,55
14/07/2026, snack,2,30,60
29 Jul 2026,เลย์,1,40,40
18-6-2569, snack,4,30,120
05/06/2026,แป๊ปซี่,2,25,50
2026-06-30,น้ำตาล,3,28,84
2026-07-23,น้ำมันปาล์ม,2,60,120
27/07/2026,เลย์,4,40,160
2026-06-19,โค้ก,3,25,75
16/06/2026,ขนมขบเคี้ยว,4,30,120
2026-07-14,น้ำมันพืชขวด,4,60,240
13/07/2026,น้ำมันปาล์ม,1,55,55
01/06/2026,น้ำมันพืชขวด,3,60,180
24-6-2569,ขนม,2,50,100
07/07/2026,โค้ก,3,20,60
17 Jul 2026,น้ำตาล 1 กก.,2,28,56
2026-06-22,น้ำตาล 1 กก.,3,28,84
1-6-2569,น้ำมันปาล์ม,3,45,135
22/07/2026,น้ำตาลทราย,1,26,26
08/06/2026,เลย์,4,50,200
2026-07-18,เลย์,2,40,80
27/06/2026,แป๊ปซี่,2,15,30 บาท
9-6-2569,น้ำมันปาล์ม,1,60,60
9-6-2569,เลย์,4,50,200
16/06/2026, snack,4,20,80
11-7-2569, soft drink,4,19,76
13 Jul 2026,น้ำตาล 1 กก.,4,25,100
21/07/2026,โค้ก,3,19,57
21/07/2026,น้ำมันพืช,2,60,120
09/06/2026, soft drink,4,20,80
28/07/2026,น้ำตาล,1,28,28
29-6-2569,น้ำมันพืชขวด,3,45,135
2026-06-03,น้ำมันกุ๊ก,1,50,50
2026-06-16,น้ำตาลทรายขาว,4,28,112
2026-06-14,น้ำอัดลมกระป๋อง,4,25,100
9-7-2569,น้ำมันกุ๊ก,1,45,45
10/07/2026,น้ำมันปาล์ม,4,55,220
10-7-2569,น้ำมันพืชขวด,2,60,120
2026-06-08,น้ำมันปาล์ม,2,50,100
2026-06-04,น้ำอัดลม,1,19,19
2026-06-10,น้ำมันพืช,1,50,50
08/06/2026,น้ำอัดลมกระป๋อง,1,20,20
01 Jun 2026,น้ำตาล,2,25,50
30-7-2569,น้ำตาล,3,28,84
2026-07-13,oil,4,60,240
2026-07-04,น้ำมันพืช,3,50,150
2026-06-19,น้ำแดง,3,25,75 บาท
29/07/2026,ขนมขบเคี้ยว,4,20,80
9-6-2569,น้ำตาล 1 กก.,3,26,78
26/06/2026,  ,4,35,140
2026-07-10,โค้ก,3,25,75
2026-07-20,เลย์,3,30,90
2026-06-26,น้ำตาล,4,30,120
10 Jul 2026,เลย์,1,20,20
2026-06-27,น้ำมันปาล์ม,3,55,165
29 Jul 2026,น้ำแดง,1,25,25
4-7-2569,น้ำตาล 1 กก.,1,25,25
08/07/2026,ขนม,2,20,40
2026-06-09,น้ำตาลทราย,4,30,120
26 Jun 2026,ขนมขบเคี้ยว ,1,40,40
08 Jun 2026,น้ำแดง,3,35,105
2026-07-16, soft drink,3,19,57
14 Jun 2026,น้ำมันปาล์ม,4,45,180
02/07/2026,น้ำอัดลม,2,25,50
2026-07-02,โค้ก,2,35,70
2026-07-11,น้ำแดง,4,35,140
30 Jun 2026,เลย์,3,20,60
09/06/2026,น้ำมันกุ๊ก,4,50,200
01/06/2026,น้ำแดง,1,20,20
13/06/2026,น้ำตาล 1 กก.,1,25,25
2026-07-18,ขนมขบเคี้ยว ,4 ชิ้น,30,120
21 Jun 2026,โค้ก,3,35,105
1-7-2569,น้ำมันพืช,1,45,45
2026-06-15,น้ำมันปาล์ม,2,50,100
2026-06-12,น้ำอัดลม,3,35,105
29/07/2026,น้ำมันปาล์ม,1,50,50
13/06/2026,เลย์,2,30,60
22 Jul 2026,น้ำอัดลม,3,25,75
29 Jul 2026,น้ำมันกุ๊ก,2,45,90
09 Jun 2026,น้ำมันกุ๊ก,2,60,120
25-7-2569,ขนมซอง,3,30,90 บาท
2026-07-04,น้ำตาล 1 กก.,3,28,84
18/06/2026, soft drink,3,19,57
23-6-2569,น้ำอัดลม,3,19,57
11 Jun 2026,แป๊ปซี่,4,19,76 บาท
21 Jun 2026,น้ำมันปาล์ม,1,60,60
2026-06-08,น้ำมันพืชขวด,2,45,90
23-6-2569,ขนมขบเคี้ยว ,3,40,120
04 Jul 2026,sugar,4,28,112
04 Jul 2026,น้ำตาลทรายขาว,1,28,28
